URG;Escola;Descricao;2022;2023;2024;2025;Total
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;AVAL. ENFERMAGEM;0;0;57;69;126
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;AVAL. MÉDICAS;0;0;41;32;73
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;ALUNOS VACINADOS;0;0;16;8;24
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;VACINAS APLICADAS;0;0;22;10;32
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;ENCAMINHAMENTOS;0;0;3;47;50
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;EXAMES;0;0;2;15;17
URG I-CENTRO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;ALUNOS CADASTRADOS;0;0;0;73;73
URG I-CENTRO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;ALUNOS ATENDIDOS;0;0;0;54;54
URG I-CENTRO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;AVAL. PROFESSORES;0;0;0;51;51
URG I-CENTRO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;AVAL. PSCÓLOGOS;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;AVAL. ASSIST. SOCIAIS;0;0;0;47;47
URG I-CENTRO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;AVAL. ENFERMAGEM;0;0;0;49;49
URG I-CENTRO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;AVAL. MÉDICAS;0;0;0;41;41
URG I-CENTRO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;ALUNOS VACINADOS;0;0;0;7;7
URG I-CENTRO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;VACINAS APLICADAS;0;0;0;14;14
URG I-CENTRO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;ENCAMINHAMENTOS;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;EXAMES;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;ALUNOS CADASTRADOS;55;48;54;54;211
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;ALUNOS ATENDIDOS;0;42;38;41;121
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;AVAL. PROFESSORES;0;41;35;40;116
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;AVAL. PSCÓLOGOS;0;37;29;19;85
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;AVAL. ASSIST. SOCIAIS;0;37;29;23;89
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;AVAL. ENFERMAGEM;0;37;29;24;90
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;AVAL. MÉDICAS;0;30;26;22;78
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;ALUNOS VACINADOS;0;11;8;11;30
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;VACINAS APLICADAS;0;12;13;14;39
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;ENCAMINHAMENTOS;0;30;8;5;43
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;EXAMES;0;12;10;4;26
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;ALUNOS CADASTRADOS;41;78;73;74;266
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;ALUNOS ATENDIDOS;0;61;45;59;165
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;AVAL. PROFESSORES;0;55;41;55;151
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;AVAL. PSCÓLOGOS;0;54;0;1;55
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;AVAL. ASSIST. SOCIAIS;0;54;41;42;137
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;AVAL. ENFERMAGEM;0;55;45;45;145
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;AVAL. MÉDICAS;0;43;42;46;131
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;ALUNOS VACINADOS;0;30;27;28;85
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;VACINAS APLICADAS;0;38;42;37;117
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;ENCAMINHAMENTOS;0;16;6;5;27
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;EXAMES;0;13;5;6;24
URG I-CENTRO;E M CAPISTRANO DE ABREU;ALUNOS CADASTRADOS;297;321;280;297;1195
URG I-CENTRO;E M CAPISTRANO DE ABREU;ALUNOS ATENDIDOS;0;312;204;254;770
URG I-CENTRO;E M CAPISTRANO DE ABREU;AVAL. PROFESSORES;0;310;196;241;747
URG I-CENTRO;E M CAPISTRANO DE ABREU;AVAL. PSCÓLOGOS;0;243;3;33;279
URG I-CENTRO;E M CAPISTRANO DE ABREU;AVAL. ASSIST. SOCIAIS;0;243;181;207;631
URG I-CENTRO;E M CAPISTRANO DE ABREU;AVAL. ENFERMAGEM;0;247;119;226;592
URG I-CENTRO;E M CAPISTRANO DE ABREU;AVAL. MÉDICAS;0;188;85;69;342
URG I-CENTRO;E M CAPISTRANO DE ABREU;ALUNOS VACINADOS;0;44;25;43;112
URG I-CENTRO;E M CAPISTRANO DE ABREU;VACINAS APLICADAS;0;56;25;50;131
URG I-CENTRO;E M CAPISTRANO DE ABREU;ENCAMINHAMENTOS;0;56;28;3;87
URG I-CENTRO;E M CAPISTRANO DE ABREU;EXAMES;0;69;12;8;89
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;ALUNOS CADASTRADOS;240;198;166;154;758
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;ALUNOS ATENDIDOS;0;128;111;145;384
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;AVAL. PROFESSORES;0;117;102;143;362
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;AVAL. PSCÓLOGOS;0;115;77;0;192
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;AVAL. ASSIST. SOCIAIS;0;110;79;107;296
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;AVAL. ENFERMAGEM;0;63;81;114;258
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;AVAL. MÉDICAS;0;39;55;74;168
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;ALUNOS VACINADOS;0;32;33;48;113
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;VACINAS APLICADAS;0;43;36;65;144
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;ENCAMINHAMENTOS;0;7;9;72;88
URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;EXAMES;0;12;11;52;75
URG I-CENTRO;E M DR RUBENS FALCAO;ALUNOS CADASTRADOS;393;395;0;423;1211
URG I-CENTRO;E M DR RUBENS FALCAO;ALUNOS ATENDIDOS;0;339;0;399;738
URG I-CENTRO;E M DR RUBENS FALCAO;AVAL. PROFESSORES;0;327;0;393;720
URG I-CENTRO;E M DR RUBENS FALCAO;AVAL. PSCÓLOGOS;0;322;0;15;337
URG I-CENTRO;E M DR RUBENS FALCAO;AVAL. ASSIST. SOCIAIS;0;318;0;317;635
URG I-CENTRO;E M DR RUBENS FALCAO;AVAL. ENFERMAGEM;0;319;0;331;650
URG I-CENTRO;E M DR RUBENS FALCAO;AVAL. MÉDICAS;0;179;0;171;350
URG I-CENTRO;E M DR RUBENS FALCAO;ALUNOS VACINADOS;0;108;0;92;200
URG I-CENTRO;E M DR RUBENS FALCAO;VACINAS APLICADAS;0;125;0;127;252
URG I-CENTRO;E M DR RUBENS FALCAO;ENCAMINHAMENTOS;0;76;0;122;198
URG I-CENTRO;E M DR RUBENS FALCAO;EXAMES;0;40;0;76;116
URG I-CENTRO;E M DR THIBAU;ALUNOS CADASTRADOS;175;171;171;159;676
URG I-CENTRO;E M DR THIBAU;ALUNOS ATENDIDOS;0;126;135;129;390
URG I-CENTRO;E M DR THIBAU;AVAL. PROFESSORES;0;115;128;109;352
URG I-CENTRO;E M DR THIBAU;AVAL. PSCÓLOGOS;0;113;60;56;229
URG I-CENTRO;E M DR THIBAU;AVAL. ASSIST. SOCIAIS;0;109;111;93;313
URG I-CENTRO;E M DR THIBAU;AVAL. ENFERMAGEM;0;117;115;102;334
URG I-CENTRO;E M DR THIBAU;AVAL. MÉDICAS;0;95;85;55;235
URG I-CENTRO;E M DR THIBAU;ALUNOS VACINADOS;0;62;54;29;145
URG I-CENTRO;E M DR THIBAU;VACINAS APLICADAS;0;70;70;36;176
URG I-CENTRO;E M DR THIBAU;ENCAMINHAMENTOS;0;4;11;30;45
URG I-CENTRO;E M DR THIBAU;EXAMES;0;7;15;18;40
URG I-CENTRO;E M ENGENHO PEQUENO;ALUNOS CADASTRADOS;382;341;349;335;1407
URG I-CENTRO;E M ENGENHO PEQUENO;ALUNOS ATENDIDOS;0;333;316;332;981
URG I-CENTRO;E M ENGENHO PEQUENO;AVAL. PROFESSORES;0;325;269;325;919
URG I-CENTRO;E M ENGENHO PEQUENO;AVAL. PSCÓLOGOS;0;188;131;8;327
URG I-CENTRO;E M ENGENHO PEQUENO;AVAL. ASSIST. SOCIAIS;0;246;278;206;730
URG I-CENTRO;E M ENGENHO PEQUENO;AVAL. ENFERMAGEM;0;265;295;213;773
URG I-CENTRO;E M ENGENHO PEQUENO;AVAL. MÉDICAS;0;212;185;121;518
URG I-CENTRO;E M ENGENHO PEQUENO;ALUNOS VACINADOS;0;132;112;65;309
URG I-CENTRO;E M ENGENHO PEQUENO;VACINAS APLICADAS;0;157;145;78;380
URG I-CENTRO;E M ENGENHO PEQUENO;ENCAMINHAMENTOS;0;31;33;100;164
URG I-CENTRO;E M ENGENHO PEQUENO;EXAMES;0;24;33;86;143
URG I-CENTRO;E M FRANCA CARVALHO;ALUNOS CADASTRADOS;533;531;474;475;2013
URG I-CENTRO;E M FRANCA CARVALHO;ALUNOS ATENDIDOS;0;411;334;430;1175
URG I-CENTRO;E M FRANCA CARVALHO;AVAL. PROFESSORES;0;367;310;393;1070
URG I-CENTRO;E M FRANCA CARVALHO;AVAL. PSCÓLOGOS;0;368;93;120;581
URG I-CENTRO;E M FRANCA CARVALHO;AVAL. ASSIST. SOCIAIS;0;367;290;314;971
URG I-CENTRO;E M FRANCA CARVALHO;AVAL. ENFERMAGEM;0;370;316;322;1008
URG I-CENTRO;E M FRANCA CARVALHO;AVAL. MÉDICAS;0;178;92;94;364
URG I-CENTRO;E M FRANCA CARVALHO;ALUNOS VACINADOS;0;129;65;74;268
URG I-CENTRO;E M FRANCA CARVALHO;VACINAS APLICADAS;0;149;91;96;336
URG I-CENTRO;E M FRANCA CARVALHO;ENCAMINHAMENTOS;0;46;20;58;124
URG I-CENTRO;E M FRANCA CARVALHO;EXAMES;0;32;22;38;92
URG I-CENTRO;E M HEITOR DANTAS;ALUNOS CADASTRADOS;247;243;226;230;946
URG I-CENTRO;E M HEITOR DANTAS;ALUNOS ATENDIDOS;0;189;147;160;496
URG I-CENTRO;E M HEITOR DANTAS;AVAL. PROFESSORES;0;181;138;156;475
URG I-CENTRO;E M HEITOR DANTAS;AVAL. PSCÓLOGOS;0;170;0;128;298
URG I-CENTRO;E M HEITOR DANTAS;AVAL. ASSIST. SOCIAIS;0;172;127;148;447
URG I-CENTRO;E M HEITOR DANTAS;AVAL. ENFERMAGEM;0;179;138;155;472
URG I-CENTRO;E M HEITOR DANTAS;AVAL. MÉDICAS;0;92;60;72;224
URG I-CENTRO;E M HEITOR DANTAS;ALUNOS VACINADOS;0;41;31;48;120
URG I-CENTRO;E M HEITOR DANTAS;VACINAS APLICADAS;0;51;41;65;157
URG I-CENTRO;E M HEITOR DANTAS;ENCAMINHAMENTOS;0;13;11;41;65
URG I-CENTRO;E M HEITOR DANTAS;EXAMES;0;9;4;28;41
URG I-CENTRO;E M JANICI FERREIRA MAIA ;ALUNOS CADASTRADOS;400;384;332;321;1437
URG I-CENTRO;E M JANICI FERREIRA MAIA ;ALUNOS ATENDIDOS;0;302;284;261;847
URG I-CENTRO;E M JANICI FERREIRA MAIA ;AVAL. PROFESSORES;0;254;277;248;779
URG I-CENTRO;E M JANICI FERREIRA MAIA ;AVAL. PSCÓLOGOS;0;256;9;72;337
URG I-CENTRO;E M JANICI FERREIRA MAIA ;AVAL. ASSIST. SOCIAIS;0;260;249;206;715
URG I-CENTRO;E M JANICI FERREIRA MAIA ;AVAL. ENFERMAGEM;0;265;253;212;730
URG I-CENTRO;E M JANICI FERREIRA MAIA ;AVAL. MÉDICAS;0;206;121;104;431
URG I-CENTRO;E M JANICI FERREIRA MAIA ;ALUNOS VACINADOS;0;103;68;58;229
URG I-CENTRO;E M JANICI FERREIRA MAIA ;VACINAS APLICADAS;0;132;83;75;290
URG I-CENTRO;E M JANICI FERREIRA MAIA ;ENCAMINHAMENTOS;0;45;67;64;176
URG I-CENTRO;E M JANICI FERREIRA MAIA ;EXAMES;0;32;34;37;103
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;ALUNOS CADASTRADOS;524;542;557;584;2207
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;ALUNOS ATENDIDOS;0;380;326;497;1203
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;AVAL. PROFESSORES;0;360;298;466;1124
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;AVAL. PSCÓLOGOS;0;130;269;128;527
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;AVAL. ASSIST. SOCIAIS;0;338;260;428;1026
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;AVAL. ENFERMAGEM;0;345;283;454;1082
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;AVAL. MÉDICAS;0;155;116;174;445
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;ALUNOS VACINADOS;0;98;70;106;274
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;VACINAS APLICADAS;0;128;94;152;374
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;ENCAMINHAMENTOS;0;29;45;132;206
URG I-CENTRO;E M JULIO RABELLO GUIMARAES;EXAMES;0;26;35;61;122
URG I-CENTRO;E M MANOEL JOAO GONCALVES;ALUNOS CADASTRADOS;166;163;177;211;717
URG I-CENTRO;E M MANOEL JOAO GONCALVES;ALUNOS ATENDIDOS;0;118;120;170;408
URG I-CENTRO;E M MANOEL JOAO GONCALVES;AVAL. PROFESSORES;0;98;115;164;377
URG I-CENTRO;E M MANOEL JOAO GONCALVES;AVAL. PSCÓLOGOS;0;98;107;0;205
URG I-CENTRO;E M MANOEL JOAO GONCALVES;AVAL. ASSIST. SOCIAIS;0;105;104;147;356
URG I-CENTRO;E M MANOEL JOAO GONCALVES;AVAL. ENFERMAGEM;0;106;110;150;366
URG I-CENTRO;E M MANOEL JOAO GONCALVES;AVAL. MÉDICAS;0;93;75;80;248
URG I-CENTRO;E M MANOEL JOAO GONCALVES;ALUNOS VACINADOS;0;58;56;57;171
URG I-CENTRO;E M MANOEL JOAO GONCALVES;VACINAS APLICADAS;0;74;67;78;219
URG I-CENTRO;E M MANOEL JOAO GONCALVES;ENCAMINHAMENTOS;0;46;33;23;102
URG I-CENTRO;E M MANOEL JOAO GONCALVES;EXAMES;0;28;29;13;70
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;ALUNOS CADASTRADOS;393;394;406;425;1618
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;ALUNOS ATENDIDOS;0;366;354;362;1082
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;AVAL. PROFESSORES;0;361;342;338;1041
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;AVAL. PSCÓLOGOS;0;277;160;248;685
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;AVAL. ASSIST. SOCIAIS;0;280;296;285;861
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;AVAL. ENFERMAGEM;0;272;313;288;873
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;AVAL. MÉDICAS;0;164;141;167;472
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;ALUNOS VACINADOS;0;41;68;68;177
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;VACINAS APLICADAS;0;43;93;96;232
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;ENCAMINHAMENTOS;0;67;54;86;207
URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;EXAMES;0;64;48;77;189
URG I-CENTRO;E M MENINOS DE DEUS;ALUNOS CADASTRADOS;338;637;293;310;1578
URG I-CENTRO;E M MENINOS DE DEUS;ALUNOS ATENDIDOS;0;227;240;273;740
URG I-CENTRO;E M MENINOS DE DEUS;AVAL. PROFESSORES;0;156;231;268;655
URG I-CENTRO;E M MENINOS DE DEUS;AVAL. PSCÓLOGOS;0;171;0;57;228
URG I-CENTRO;E M MENINOS DE DEUS;AVAL. ASSIST. SOCIAIS;0;173;219;173;565
URG I-CENTRO;E M MENINOS DE DEUS;AVAL. ENFERMAGEM;0;167;223;188;578
URG I-CENTRO;E M MENINOS DE DEUS;AVAL. MÉDICAS;0;76;59;65;200
URG I-CENTRO;E M MENINOS DE DEUS;ALUNOS VACINADOS;0;44;36;34;114
URG I-CENTRO;E M MENINOS DE DEUS;VACINAS APLICADAS;0;63;51;43;157
URG I-CENTRO;E M MENINOS DE DEUS;ENCAMINHAMENTOS;0;19;41;29;89
URG I-CENTRO;E M MENINOS DE DEUS;EXAMES;0;12;25;17;54
URG I-CENTRO;E M MONTEIRO LOBATO;ALUNOS CADASTRADOS;1287;1038;982;1005;4312
URG I-CENTRO;E M MONTEIRO LOBATO;ALUNOS ATENDIDOS;0;843;788;945;2576
URG I-CENTRO;E M MONTEIRO LOBATO;AVAL. PROFESSORES;0;794;666;882;2342
URG I-CENTRO;E M MONTEIRO LOBATO;AVAL. PSCÓLOGOS;0;729;333;390;1452
URG I-CENTRO;E M MONTEIRO LOBATO;AVAL. ASSIST. SOCIAIS;0;773;659;688;2120
URG I-CENTRO;E M MONTEIRO LOBATO;AVAL. ENFERMAGEM;0;742;664;681;2087
URG I-CENTRO;E M MONTEIRO LOBATO;AVAL. MÉDICAS;0;301;178;180;659
URG I-CENTRO;E M MONTEIRO LOBATO;ALUNOS VACINADOS;0;152;94;94;340
URG I-CENTRO;E M MONTEIRO LOBATO;VACINAS APLICADAS;0;202;113;125;440
URG I-CENTRO;E M MONTEIRO LOBATO;ENCAMINHAMENTOS;0;79;64;155;298
URG I-CENTRO;E M MONTEIRO LOBATO;EXAMES;0;65;30;84;179
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;ALUNOS CADASTRADOS;410;451;385;411;1657
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;ALUNOS ATENDIDOS;0;333;299;305;937
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;AVAL. PROFESSORES;0;208;271;290;769
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;AVAL. PSCÓLOGOS;0;301;138;151;590
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;AVAL. ASSIST. SOCIAIS;0;304;266;271;841
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;AVAL. ENFERMAGEM;0;305;281;282;868
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;AVAL. MÉDICAS;0;177;129;121;427
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;ALUNOS VACINADOS;0;81;80;77;238
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;VACINAS APLICADAS;0;103;93;110;306
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;ENCAMINHAMENTOS;0;25;36;56;117
URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;EXAMES;0;35;44;43;122
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;ALUNOS CADASTRADOS;681;656;662;654;2653
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;ALUNOS ATENDIDOS;0;508;554;576;1638
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;AVAL. PROFESSORES;0;480;524;489;1493
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;AVAL. PSCÓLOGOS;0;467;6;313;786
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;AVAL. ASSIST. SOCIAIS;0;462;478;444;1384
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;AVAL. ENFERMAGEM;0;469;479;477;1425
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;AVAL. MÉDICAS;0;208;156;161;525
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;ALUNOS VACINADOS;0;141;103;114;358
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;VACINAS APLICADAS;0;192;136;147;475
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;ENCAMINHAMENTOS;0;68;61;86;215
URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;EXAMES;0;52;46;66;164
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;ALUNOS CADASTRADOS;445;302;282;283;1312
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;ALUNOS ATENDIDOS;0;213;216;241;670
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;AVAL. PROFESSORES;0;206;196;231;633
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;AVAL. PSCÓLOGOS;0;195;125;196;516
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;AVAL. ASSIST. SOCIAIS;0;195;195;206;596
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;AVAL. ENFERMAGEM;0;203;208;212;623
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;AVAL. MÉDICAS;0;125;115;90;330
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;ALUNOS VACINADOS;0;67;52;50;169
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;VACINAS APLICADAS;0;74;69;67;210
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;ENCAMINHAMENTOS;0;13;28;76;117
URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;EXAMES;0;15;21;54;90
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;ALUNOS CADASTRADOS;175;174;184;175;708
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;ALUNOS ATENDIDOS;0;159;156;155;470
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;AVAL. PROFESSORES;0;155;144;150;449
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;AVAL. PSCÓLOGOS;0;151;6;38;195
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;AVAL. ASSIST. SOCIAIS;0;150;131;134;415
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;AVAL. ENFERMAGEM;0;146;141;142;429
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;AVAL. MÉDICAS;0;76;34;51;161
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;ALUNOS VACINADOS;0;45;25;32;102
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;VACINAS APLICADAS;0;51;35;43;129
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;ENCAMINHAMENTOS;0;0;10;47;57
URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;EXAMES;0;0;14;36;50
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;ALUNOS CADASTRADOS;154;144;138;146;582
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;ALUNOS ATENDIDOS;0;122;103;125;350
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;AVAL. PROFESSORES;0;112;99;115;326
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;AVAL. PSCÓLOGOS;0;104;0;82;186
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;AVAL. ASSIST. SOCIAIS;0;93;91;81;265
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;AVAL. ENFERMAGEM;0;100;93;84;277
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;AVAL. MÉDICAS;0;60;26;34;120
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;ALUNOS VACINADOS;0;25;15;21;61
URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;VACINAS APLICADAS;0;33;18;28;79
